,loss,cwe_loss,gob_loss,cwe_sparse_categorical_accuracy,gob_accuracy,val_loss,val_cwe_loss,val_gob_loss,val_cwe_sparse_categorical_accuracy,val_gob_accuracy
0,0.6952478289604187,0.568718433380127,0.6952478289604187,0.9448580741882324,0.5404839515686035,0.6967589259147644,0.5148724317550659,0.6967589259147644,1.0,0.5589977502822876
1,0.6894358992576599,0.4733586311340332,0.6894358992576599,1.0,0.5483946204185486,0.6897860765457153,0.48774704337120056,0.6897860765457153,1.0,0.5589977502822876
2,0.6880483627319336,0.4931417405605316,0.6880483627319336,1.0,0.5621219277381897,0.6861737370491028,0.5058934688568115,0.6861737370491028,1.0,0.5589977502822876
3,0.6870162487030029,0.5093632340431213,0.6870162487030029,1.0,0.5625872611999512,0.6863500475883484,0.5202707052230835,0.6863500475883484,1.0,0.5589977502822876
4,0.6865714192390442,0.5109171867370605,0.6865714192390442,1.0,0.5625872611999512,0.6863982677459717,0.5115165710449219,0.6863982677459717,1.0,0.5589977502822876
5,0.6866716742515564,0.5031522512435913,0.6866716742515564,0.9920893311500549,0.5618892312049866,0.6862742900848389,0.48301181197166443,0.6862742900848389,1.0,0.5589977502822876
6,0.6890750527381897,0.5504071712493896,0.6890750527381897,0.9295020699501038,0.5502559542655945,0.6900067925453186,0.5268474221229553,0.6900067925453186,1.0,0.5589977502822876
7,0.687718391418457,0.3816604018211365,0.687718391418457,1.0,0.562354564666748,0.6862474679946899,0.3116649389266968,0.6862474679946899,1.0,0.5589977502822876
8,0.6867280006408691,0.2735663950443268,0.6867280006408691,1.0,0.5625872611999512,0.6862597465515137,0.22619308531284332,0.6862597465515137,1.0,0.5589977502822876
9,0.686458945274353,0.22131532430648804,0.686458945274353,1.0,0.5625872611999512,0.6862465143203735,0.19837678968906403,0.6862465143203735,1.0,0.5589977502822876
10,0.686309278011322,0.2071257382631302,0.686309278011322,1.0,0.5625872611999512,0.686253011226654,0.18718774616718292,0.686253011226654,1.0,0.5589977502822876
