,loss,cwe_loss,gob_loss,cwe_sparse_categorical_accuracy,gob_accuracy,val_loss,val_cwe_loss,val_gob_loss,val_cwe_sparse_categorical_accuracy,val_gob_accuracy
0,0.4859081506729126,0.5136196613311768,0.4859081506729126,0.8113899230957031,0.7243391275405884,0.3428640067577362,0.3967975378036499,0.3428640067577362,0.9954563975334167,0.8271375298500061
1,0.33145150542259216,0.4679030776023865,0.33145150542259216,0.8878562450408936,0.8293060660362244,0.29271557927131653,0.4604039788246155,0.29271557927131653,0.8791821599006653,0.8519206643104553
2,0.30469828844070435,0.4428190588951111,0.30469828844070435,0.8895601034164429,0.8434014916419983,0.27336427569389343,0.5281100273132324,0.27336427569389343,0.8205286860466003,0.8626600503921509
3,0.30714747309684753,0.5375762581825256,0.30714747309684753,0.7843866348266602,0.846086323261261,0.3672392666339874,0.44043397903442383,0.3672392666339874,0.9374225735664368,0.8207352161407471
4,0.3226984143257141,0.44223955273628235,0.3226984143257141,0.888269305229187,0.8360698223114014,0.2927856147289276,0.4655580222606659,0.2927856147289276,0.8886823654174805,0.8428335189819336
5,0.2710936665534973,0.45260101556777954,0.2710936665534973,0.8755162954330444,0.856980562210083,0.25834891200065613,0.43478938937187195,0.25834891200065613,0.8968401551246643,0.8637959361076355
6,0.23901793360710144,0.4633209705352783,0.23901793360710144,0.8552767634391785,0.8733994364738464,0.23003876209259033,0.47416451573371887,0.23003876209259033,0.8229037523269653,0.8748450875282288
7,0.21922065317630768,0.458880752325058,0.21922065317630768,0.8261049389839172,0.8783044219017029,0.22236867249011993,0.475199818611145,0.22236867249011993,0.7497934699058533,0.8795952200889587
8,0.20621158182621002,0.4611668288707733,0.20621158182621002,0.8381866812705994,0.8851197957992554,0.2150767296552658,0.4007107615470886,0.2150767296552658,0.934840977191925,0.8824865818023682
9,0.20059894025325775,0.40066781640052795,0.20059894025325775,0.9160987138748169,0.8895601034164429,0.24846547842025757,0.3287888467311859,0.24846547842025757,0.9991738796234131,0.8689591288566589
10,0.20527738332748413,0.44814130663871765,0.20527738332748413,0.821199893951416,0.8869268894195557,0.2228384166955948,0.338613897562027,0.2228384166955948,1.0,0.8823832869529724
11,0.19199717044830322,0.5338408946990967,0.19199717044830322,0.7490190267562866,0.893122673034668,0.2044522911310196,0.38101980090141296,0.2044522911310196,0.9744940400123596,0.8893019556999207
12,0.19455918669700623,0.518061637878418,0.19455918669700623,0.7568153738975525,0.8959624171257019,0.20043115317821503,0.5556220412254333,0.20043115317821503,0.6758570671081543,0.8873399496078491
13,0.1909073442220688,0.5928031206130981,0.1909073442220688,0.6927406191825867,0.8969433903694153,0.23079152405261993,0.6606869697570801,0.23079152405261993,0.6580958366394043,0.8869268894195557
14,0.19325263798236847,0.68079674243927,0.19325263798236847,0.6875258088111877,0.8928645253181458,0.19826668500900269,0.6763291954994202,0.19826668500900269,0.5766212344169617,0.8813506960868835
15,0.19304053485393524,0.6774275898933411,0.19304053485393524,0.6533973813056946,0.89276123046875,0.21375717222690582,0.7910750508308411,0.21375717222690582,0.6441553235054016,0.8868236541748047
16,0.18447420001029968,0.7106344699859619,0.18447420001029968,0.6591801047325134,0.8962721824645996,0.20613335072994232,0.753514289855957,0.20613335072994232,0.6500412821769714,0.8853779435157776
17,0.20480488240718842,0.682201087474823,0.20480488240718842,0.6649112105369568,0.8927096128463745,0.23668377101421356,0.6864395141601562,0.23668377101421356,0.6933085322380066,0.8717471957206726
18,0.20241880416870117,0.7424951791763306,0.20241880416870117,0.67002272605896,0.8924514651298523,0.217280313372612,1.0786044597625732,0.217280313372612,0.6341387629508972,0.8825898170471191
19,0.19285742938518524,0.748460054397583,0.19285742938518524,0.6508674025535583,0.8963238596916199,0.2045336812734604,0.8568554520606995,0.2045336812734604,0.6087360382080078,0.8939487934112549
