,loss,cwe_loss,gob_loss,cwe_SparseCategoricalAccuracy,gob_accuracy,gob_AUC,val_loss,val_cwe_loss,val_gob_loss,val_cwe_SparseCategoricalAccuracy,val_gob_accuracy,val_gob_AUC
0,0.8369411314284907,0.15101505815982819,0.6870325803756714,0.948536217212677,0.5523543953895569,0.572575032711029,0.7388228645511702,0.06948470324277878,0.669338047504425,0.9724287390708923,0.5879801511764526,0.6538927555084229
1,0.7046005246047815,0.07163748145103455,0.6328873038291931,0.9749070405960083,0.6536555290222168,0.6931964159011841,0.6475192121430939,0.05121466517448425,0.5963045358657837,0.9804832935333252,0.6722428798675537,0.7462948560714722
2,0.6502798706022285,0.06413223594427109,0.5855392217636108,0.9769594073295593,0.6933860182762146,0.7535873055458069,0.6097582163763982,0.05136631801724434,0.5583919882774353,0.9817224144935608,0.7143742442131042,0.7900699973106384
3,0.589619549595491,0.055048923939466476,0.5331488847732544,0.9793215394020081,0.7204925417900085,0.8024109601974487,0.5722000137263653,0.04729558154940605,0.5249043703079224,0.9811028242111206,0.7369888424873352,0.8390225768089294
4,0.5122683390330706,0.04660709202289581,0.462583065032959,0.9842394590377808,0.7588289976119995,0.8543184995651245,0.4550390453899608,0.03448329493403435,0.42055580019950867,0.9903965592384338,0.7825278639793396,0.8840317726135254
5,0.4250575418896111,0.03642598167061806,0.38820207118988037,0.9877633452415466,0.7942999005317688,0.897700309753418,0.40302753799101887,0.03414538875222206,0.36888211965560913,0.9900867342948914,0.7977075576782227,0.9072050452232361
6,0.37361468261123654,0.031599435955286026,0.33988049626350403,0.9900867342948914,0.8160625696182251,0.9198756814002991,0.35201050925488564,0.030565327033400536,0.32144516706466675,0.9916356801986694,0.8320941925048828,0.9307059645652771
7,0.3411210803938686,0.026369767263531685,0.31253352761268616,0.9920616745948792,0.83472740650177,0.9336402416229248,0.3473297784141466,0.02093237079679966,0.3263973891735077,0.99349445104599,0.8252788186073303,0.9364776611328125
8,0.3171989142304186,0.026251105591654778,0.2877935767173767,0.9925263524055481,0.8439435958862305,0.9429864883422852,0.35910537955807703,0.06397944688796997,0.29512593150138855,0.9801734685897827,0.8389095664024353,0.9397791028022766
9,0.29526906781313883,0.025718187913298607,0.2668847143650055,0.9924488663673401,0.8575356006622314,0.9506449103355408,0.31996822240305883,0.02573384717106819,0.29423436522483826,0.9931846261024475,0.8451053500175476,0.9456351399421692
10,0.27940136084529554,0.02359047532081604,0.254102498292923,0.9930297136306763,0.8656675815582275,0.9545408487319946,0.3142385961962681,0.01789519377052784,0.2963433861732483,0.9950433969497681,0.8485130071640015,0.944190263748169
11,0.26263099540496543,0.01927904598414898,0.24096865952014923,0.9946174025535583,0.8717471957206726,0.9591195583343506,0.29708054106609494,0.028438130393624306,0.2686423659324646,0.9922552704811096,0.8677199482917786,0.9555085897445679
12,0.24997273132777337,0.018273841589689255,0.22893722355365753,0.9949659109115601,0.8819702863693237,0.9637524485588074,0.3374391440667358,0.030604124069213867,0.30683502554893494,0.9919455051422119,0.8646220564842224,0.950321614742279
13,0.24095780470772027,0.017663944512605667,0.22037343680858612,0.9950046539306641,0.8861523866653442,0.9658979177474976,0.2744480120200737,0.02326849475502968,0.25117945671081543,0.9941139817237854,0.8686493039131165,0.959526777267456
14,0.23269023486457666,0.017506474629044533,0.2124197781085968,0.9951595664024353,0.8874303102493286,0.9680431485176086,0.29413051055926903,0.026630118489265442,0.2675003707408905,0.9925650358200073,0.8782528042793274,0.9559141397476196
15,0.22747309398689455,0.016500432044267654,0.20830018818378448,0.9953531622886658,0.8916511535644531,0.9690727591514587,0.2963927829382466,0.03237706422805786,0.26401573419570923,0.99349445104599,0.8785625696182251,0.9574259519577026
16,0.22297609048290745,0.019763266667723656,0.19931460916996002,0.9947335720062256,0.8937422633171082,0.9718948602676392,0.302972220322665,0.03804706037044525,0.26492512226104736,0.9922552704811096,0.8773234486579895,0.9578740000724792
17,0.22029488467814362,0.01707935892045498,0.20105282962322235,0.9958178400993347,0.8970724940299988,0.9712092876434326,0.2927945056090168,0.04157182574272156,0.2512226700782776,0.9922552704811096,0.8822800517082214,0.9602795243263245
18,0.215334873004428,0.016434628516435623,0.1961895078420639,0.9955855011940002,0.8987763524055481,0.9726834297180176,0.30167610037560555,0.03440132737159729,0.26727479696273804,0.9925650358200073,0.875464677810669,0.9555712938308716
19,0.2106065912843164,0.016193263232707977,0.1916133165359497,0.9960114359855652,0.9000929594039917,0.9741981029510498,0.27929091263635486,0.022785648703575134,0.25650525093078613,0.9950433969497681,0.8884758353233337,0.9589968919754028
